Study number,drain2,Clay,Sand,pH,Corg,OM,C_N,prec1,prec2,ETP,ETP2,PPE,PPE2,Tair,N_syn,N_org,Ntot,Org,type2,split2,crop2,till2,Cumul,EF,per_N_app,EF_2
17,1,539,72,6.1,46,7.9304,13.14285714,718,229,612,211,1.173202614,1.085308057,4,0.12,0,0.12,0,0,1,0,0,14.81843898,5.476187725,12.34869915,5.476187725
17,1,539,72,6.1,46,7.9304,13.14285714,718,229,612,211,1.173202614,1.085308057,4,0.12,0,0.12,0,0,1,0,0,16.7566732,7.414421954,13.96389434,7.414421954
17,1,539,72,6.1,46,7.9304,13.14285714,718,229,612,211,1.173202614,1.085308057,4,0.12,0,0.12,0,0,1,0,0,18.81713629,9.474885042,15.68094691,9.474885042
17,1,539,72,6.1,46,7.9304,13.14285714,718,229,612,211,1.173202614,1.085308057,4,0.17,0,0.17,0,0,1,0,0,13.98776762,3.097010913,8.2280986,3.097010913
17,1,539,72,6.1,46,7.9304,13.14285714,718,229,612,211,1.173202614,1.085308057,4,0.17,0,0.17,0,0,1,0,0,14.19079222,3.232360649,8.347524838,3.232360649
17,1,539,72,6.1,46,7.9304,13.14285714,718,229,612,211,1.173202614,1.085308057,4,0.17,0,0.17,0,0,1,0,0,17.11835183,5.184067052,10.06961872,5.184067052
17,1,539,72,6.1,46,7.9304,13.14285714,718,229,612,211,1.173202614,1.085308057,4,0.22,0,0.22,0,0,1,0,0,16.40875492,3.533251833,7.458524962,3.533251833
17,1,539,72,6.1,46,7.9304,13.14285714,718,229,612,211,1.173202614,1.085308057,4,0.22,0,0.22,0,0,1,0,0,18.0598147,4.358781727,8.209006684,4.358781727
17,1,539,72,6.1,46,7.9304,13.14285714,718,229,612,211,1.173202614,1.085308057,4,0.22,0,0.22,0,0,1,0,0,19.86756302,5.262655885,9.030710464,5.262655885
17,1,539,72,6.1,46,7.9304,13.14285714,702,192,612,211,1.147058824,0.909952607,4,0.02,0,0.02,0,0,0,0,0,9.149184505,,45.74592252,
17,1,539,72,6.1,46,7.9304,13.14285714,702,192,612,211,1.147058824,0.909952607,4,0.12,0,0.12,0,0,1,0,0,9.74745137,0.598266866,8.122876142,0.598266866
17,1,539,72,6.1,46,7.9304,13.14285714,702,192,612,211,1.147058824,0.909952607,4,0.12,0,0.12,0,0,1,0,0,11.16469536,2.015510852,9.303912798,2.015510852
17,1,539,72,6.1,46,7.9304,13.14285714,702,192,612,211,1.147058824,0.909952607,4,0.12,0,0.12,0,0,1,0,0,14.20328698,5.054102474,11.83607248,5.054102474
17,1,539,72,6.1,46,7.9304,13.14285714,702,192,612,211,1.147058824,0.909952607,4,0.17,0,0.17,0,0,1,0,0,10.71491622,1.043821144,6.302891895,1.043821144
17,1,539,72,6.1,46,7.9304,13.14285714,702,192,612,211,1.147058824,0.909952607,4,0.17,0,0.17,0,0,1,0,0,11.43930347,1.526745979,6.729002043,1.526745979
17,1,539,72,6.1,46,7.9304,13.14285714,702,192,612,211,1.147058824,0.909952607,4,0.17,0,0.17,0,0,1,0,0,15.05795332,3.939179213,8.857619602,3.939179213
17,1,539,72,6.1,46,7.9304,13.14285714,702,192,612,211,1.147058824,0.909952607,4,0.22,0,0.22,0,0,1,0,0,12.7216139,1.786214696,5.782551772,1.786214696
17,1,539,72,6.1,46,7.9304,13.14285714,702,192,612,211,1.147058824,0.909952607,4,0.22,0,0.22,0,0,1,0,0,14.76368794,2.807251719,6.710767247,2.807251719
17,1,539,72,6.1,46,7.9304,13.14285714,702,192,612,211,1.147058824,0.909952607,4,0.22,0,0.22,0,0,1,0,0,16.49895763,3.674886562,7.499526195,3.674886562
18,1,273,376,6.4,14.85,2.56014,,507,114.6,601.9,246.8,0.842332613,0.464343598,6.2,0.099,0,0.099,0,0,0,0,1,1.2,,1.212121212,
18,1,273,376,6.4,14.85,2.56014,,507,114.6,601.9,246.8,0.842332613,0.464343598,6.2,0.155,0,0.155,0,0,0,0,1,2.18,,1.406451613,
19,0,400,200,7,17.6,3.03424,,551.4,148,575.9,262.5,0.957457892,0.563809524,6.3,0,0,0,0,0,0,0,0,0.079,,,
19,0,400,200,7,17.6,3.03424,,551.4,148,575.9,262.5,0.957457892,0.563809524,6.3,0.119,0,0.119,0,0,1,0,0,0.282,,0.23697479,
19,0,400,200,7,24.4,4.20656,,551.4,148,575.9,262.5,0.957457892,0.563809524,6.3,0,0,0,0,0,0,0,1,0.506,,,
19,0,400,200,7,24.4,4.20656,,551.4,148,575.9,262.5,0.957457892,0.563809524,6.3,0.119,0,0.119,0,0,1,0,1,0.412,,0.346218487,
19,0,400,200,7,17.6,3.03424,,470,116.6,565.5,254.3,0.8311229,0.458513567,6.3,0,0,0,0,0,0,0,0,0.649,,,
19,0,400,200,7,17.6,3.03424,,470,116.6,565.5,254.3,0.8311229,0.458513567,6.3,0.119,0,0.119,0,0,1,0,0,3.012,,2.531092437,
